,Germany,France,United Kingdom,Italy
1970-01-01,17894.2966855025,17526.4742001718,19655.9119684222,15736.1836330101
1971-01-01,18421.0421814761,18312.5429574749,20259.99990997,15947.7220644908
1972-01-01,19121.4978922895,18985.767152331,21064.029387729,16442.6579886459
1973-01-01,19972.0254072346,20033.0120405998,22394.9063665057,17495.2850451837
1974-01-01,20141.9394753194,20744.7098004525,21824.7595550081,18337.1605795574
1975-01-01,20041.9479922639,20416.3807476764,21504.7354166853,17846.9745510807
1976-01-01,21124.2556950912,21192.4503743429,22136.0260990134,19023.5041749574
1977-01-01,21880.8076281356,21826.9180620996,22687.5314212341,19427.9110592648
1978-01-01,22558.714790358,22602.2938154866,23640.1072323673,19986.0625779522
1979-01-01,23484.5991918307,23308.6779017224,24504.3814347225,21115.9194623778
1980-01-01,23766.107651563,23571.7601213171,23977.932424806,21795.2545189366
1981-01-01,23855.5258569738,23708.2313315445,23780.7654286142,21952.8848612744
1982-01-01,23783.9454870064,24176.3145490166,24263.8611394764,22027.3545327407
1983-01-01,24221.3403747435,24343.1301270876,25279.6243148859,22276.812376138
1984-01-01,24991.3336835112,24573.9301474875,25812.3621110214,22990.2903298322
1985-01-01,25630.3329976336,24832.9691797729,26821.9659801116,23626.749268459
1986-01-01,26204.5895785314,25270.018173555,27602.9439141772,24301.1433759903
1987-01-01,26531.229705288,25769.7309382798,29029.7048005534,25074.2673152936
1988-01-01,27407.5200661963,26840.0498564772,30625.7233408827,26113.3555152329
1989-01-01,28256.1062209731,27854.6078624175,31333.4619678829,26977.9326628205
1990-01-01,29485.7099744881,28523.5774453551,31469.1612929282,27490.6320397627
1991-01-01,30766.9289577727,28663.2840835565,31025.9226234739,27894.2427947176
1992-01-01,31121.0705650076,28977.2620870713,31066.2355492075,28107.8590258445
1993-01-01,30615.1402117435,28670.5991675264,31763.4894327669,27851.1213575016
1994-01-01,31238.8790596628,29237.7063204025,32901.2473045703,28444.4102547741
1995-01-01,31628.1598130943,29746.0054678075,33645.0733046118,29265.0890480926
1996-01-01,31790.8668596056,30059.6949915431,34374.5202164087,29627.4869484224
1997-01-01,32313.2970704344,30653.3528508069,35969.2149523957,30153.7751753268
1998-01-01,32959.0735691418,31636.5672206853,36995.7094347959,30690.911722108
1999-01-01,33559.3993737499,32551.0830706316,37975.0998606586,31184.6163874566
2000-01-01,34490.0757688619,33597.3662427446,39229.2684645729,32350.9043668747
2001-01-01,35011.068457503,34015.3809173194,39888.499257412,32963.6706090266
2002-01-01,34883.0580735445,34152.3658925504,40563.337319998,32998.2031900081
2003-01-01,34619.6640670185,34190.3029345668,41598.211744861,32897.3907788976
2004-01-01,35034.0806086181,34899.8763766384,42336.5541810782,33150.4762169416
2005-01-01,35310.4704669272,35213.893088874,43137.2551546647,33257.7698032684
2006-01-01,36699.446781036,35825.7485784696,43927.8860195651,33751.7000191328
2007-01-01,37842.3577913563,36468.0978775182,44576.3676643203,34081.0903298709
2008-01-01,38278.3130082531,36357.3225084709,44120.9295397417,33530.3601449597
2009-01-01,36190.3928860698,35131.4491385136,41928.6098473613,31615.2708145085
2010-01-01,37760.9136283996,35639.8040642823,42487.9254102784,32058.1739940798
2011-01-01,39977.3417095357,36245.5427948625,42771.6411209323,32229.4567910904
2012-01-01,40069.3539560742,36183.4879863585,43099.5973494837,31184.5584255896
2013-01-01,40135.0158319837,36205.1678224014,43621.0592250195,30257.6274259351
2014-01-01,40851.1617304855,36378.6186614699,44596.1897498767,29979.9187217358
2015-01-01,41103.2564363768,36652.9223052178,45404.5677734722,30242.3861352184
2016-01-01,41682.0322433511,36956.7958003293,46081.7152875555,30685.645898943
2017-01-01,42639.5544087286,37694.0833027304,46746.6418904989,31244.2270989224
2018-01-01,42973.2899573032,38291.8657809431,47231.3368868464,31593.4802621599
2019-01-01,43329.0506893066,38912.3312648593,47750.8796619598,32090.9947117484
2020-01-01,41315.3135706623,35785.967011942,43020.203459701,29359.9266875238
